article_id,title,source,date,year,topic,sentiment
1,African tech ecosystem update #64,TechCabal,2024-03-07,2024,Innovation Policy,Neutral
2,African tech ecosystem update #89,Ventureburn,2024-02-20,2024,EdTech,Neutral
3,African tech ecosystem update #69,ITWeb,2024-02-04,2024,Digital Skills,Neutral
4,African tech ecosystem update #80,BusinessTech,2023-12-27,2023,Innovation Policy,Negative
5,African tech ecosystem update #96,Ventureburn,2023-10-23,2023,Innovation Policy,Positive
6,Digital skills gap in South Africa addressed by UVU Africa,Disrupt Africa,2023-10-11,2023,FinTech,Positive
7,Injini EdTech incubator supports 20 new startups,Daily Maverick,2023-10-06,2023,Innovation Policy,Positive
8,Pan-African startup funding reaches new highs in 2023,Disrupt Africa,2023-09-02,2023,Digital Skills,Positive
9,African tech ecosystem update #70,MyBroadband,2023-08-20,2023,CleanTech,Positive
10,African tech ecosystem update #100,Disrupt Africa,2023-07-25,2023,Biotechnology,Positive
11,African tech ecosystem update #42,MyBroadband,2023-07-20,2023,FinTech,Neutral
12,UVU Africa announces new accelerator cohort,BusinessTech,2023-06-22,2023,CleanTech,Positive
13,Cape Town ranked top African city for startup ecosystems,TechCabal,2023-06-12,2023,FinTech,Positive
14,African tech ecosystem update #65,Disrupt Africa,2023-06-02,2023,EdTech,Positive
15,African tech ecosystem update #46,Daily Maverick,2023-05-08,2023,CleanTech,Negative
16,African tech ecosystem update #85,TechCabal,2023-04-16,2023,Digital Skills,Neutral
17,African tech ecosystem update #87,BusinessTech,2023-04-12,2023,Startup Funding,Positive
18,African tech ecosystem update #51,Disrupt Africa,2023-04-12,2023,AI/ML,Positive
19,HealthTech startups gaining traction in African markets,Ventureburn,2023-03-08,2023,CleanTech,Positive
20,African tech ecosystem update #81,Daily Maverick,2023-02-13,2023,EdTech,Neutral
21,UVU Africa featured in World Economic Forum report,Ventureburn,2023-01-23,2023,Digital Skills,Positive
22,AI adoption accelerating in South African startups,Daily Maverick,2023-01-14,2023,Innovation Policy,Positive
23,Digital economy jobs growing fastest in South Africa,Ventureburn,2022-12-21,2022,AI/ML,Positive
24,African tech ecosystem update #61,Ventureburn,2022-12-18,2022,Digital Skills,Neutral
25,African tech ecosystem update #62,ITWeb,2022-12-10,2022,CleanTech,Negative
26,UVU Africa CAPACITI cohort graduates 500 tech professionals,Daily Maverick,2022-12-10,2022,Digital Skills,Positive
27,African tech ecosystem update #76,ITWeb,2022-12-04,2022,Biotechnology,Negative
28,African tech ecosystem update #98,MyBroadband,2022-11-21,2022,FinTech,Negative
29,UVU Africa graduate placed at leading FinTech company,Daily Maverick,2022-11-15,2022,Innovation Policy,Neutral
30,African tech ecosystem update #58,Disrupt Africa,2022-11-12,2022,FinTech,Negative
31,African tech ecosystem update #95,Daily Maverick,2022-10-04,2022,Startup Funding,Positive
32,CleanTech innovation hub opens at Bandwidth Barn,Ventureburn,2022-09-21,2022,CleanTech,Neutral
33,African tech ecosystem update #68,Ventureburn,2022-08-19,2022,Biotechnology,Positive
34,African tech ecosystem update #31,BusinessTech,2022-07-30,2022,Startup Funding,Negative
35,African tech ecosystem update #91,MyBroadband,2022-07-24,2022,AI/ML,Negative
36,African tech ecosystem update #52,BusinessTech,2022-07-05,2022,Biotechnology,Positive
37,African tech ecosystem update #50,TechCabal,2022-06-02,2022,FinTech,Positive
38,African tech ecosystem update #45,BusinessTech,2022-05-26,2022,Digital Skills,Positive
39,African tech ecosystem update #82,Ventureburn,2022-05-21,2022,FinTech,Neutral
40,UVU Africa launches new biotech lab in Cape Town,MyBroadband,2022-05-14,2022,FinTech,Positive
41,African tech ecosystem update #79,Disrupt Africa,2022-05-09,2022,Startup Funding,Positive
42,EdTech startups rising across sub-Saharan Africa,ITWeb,2022-05-05,2022,Digital Skills,Positive
43,African tech ecosystem update #73,BusinessTech,2022-05-03,2022,EdTech,Neutral
44,African tech ecosystem update #86,Disrupt Africa,2022-03-26,2022,CleanTech,Positive
45,African tech ecosystem update #33,Ventureburn,2022-03-21,2022,EdTech,Neutral
46,UVU Africa and AWS partner for cloud skills training,Ventureburn,2022-02-07,2022,CleanTech,Neutral
47,African tech ecosystem update #67,Daily Maverick,2022-01-20,2022,AI/ML,Positive
48,Government and UVU Africa partner on township digital access,Disrupt Africa,2021-11-24,2021,FinTech,Positive
